tileset,size,chunk_size,single,pair,quad
Carcassonne,64,2,0.8042134429864537,0.8372993723008091,NaN
Carcassonne,64,4,1.0835443543467234,0.8441291137050045,NaN
Carcassonne,64,8,0.7826812766356125,0.8191606113683414,NaN
Circuit,64,16,10.809937785512918,3.7534051885813255,1.4268180122255745
Circuit,64,16,10.809937785512918,3.7534051885813215,1.4268180122255725
Circuit,64,32,7.851772598042004,2.824746453532566,1.1927863128359815
Circuit,64,16,2.473543387012086,1.9939228455467157,1.4294648041426632
Circuit,64,16,2.4735433870120858,1.993922845546716,1.42946480414266
Circuit,64,32,1.8735462592745098,1.5355948989106867,1.1797770713996076
Circuit,64,16,1.5545674407898316,1.0643468830118918,0.8108015961075059
Circuit,64,16,1.5545674407898322,1.064346883011892,0.810801596107506
Circuit,64,32,1.35504898540054,0.9950974297948453,0.7932911956340793
